coffee_name,roaster_location,coffee_origin,roast_level,est_price,review_date,aroma,acidity_structure,body,flavor,aftertaste,rating,price_usd_per_100g,review_year,review_month,roaster_city,roaster_state,roaster_country,roast_level_normalized,origin_type,flavor_profile,is_single_origin,avg_sensory_score,origin_encoded
Reserve Panama Volcán Valley Gesha,"Phoenix, Arizona","Volcán Valley, Panama",Light,$56.00/6 ounces,2025-08-01,9.0,9.0,9.0,10,9.0,96,32.92,2025,8,Phoenix,Arizona,USA,1,Blend,9.0-9.0-9.0-10-9.0,False,9.2,0
El Salvador Monte Verde,"Plymouth, Massachusetts","Monte Verde, Santa Ana Department, central El Salvador",Light,$18.00/12 ounces,2025-08-01,9.0,9.0,8.0,9,8.0,93,5.29,2025,8,Plymouth,Massachusetts,USA,1,Blend,9.0-9.0-8.0-9-8.0,False,8.6,0
Guatemala Bella Carmona,"Madison, Wisconsin","Antigua valley, Sacatepequez Department, Guatemala",Medium-Light,$25.00/12 ounces,2025-08-01,9.0,8.0,9.0,9,8.0,93,7.35,2025,8,Madison,Wisconsin,USA,2,Blend,9.0-8.0-9.0-9-8.0,False,8.6,0
African Waltz Natural,"Chia-Yi, Taiwan",Ethiopia; Kenya,Medium-Light,NT $700/227 grams,2025-08-01,9.0,9.0,9.0,9,9.0,95,9.87,2025,8,Chia-Yi,Taiwan,Taiwan,2,Single Origin,9.0-9.0-9.0-9-9.0,False,9.0,1
American Rhapsody Washed,"Chia-Yi, Taiwan",Ethiopia; Kenya; Costa Rica,Medium-Light,NT $700/227 grams,2025-08-01,9.0,9.0,9.0,9,8.0,94,9.87,2025,8,Chia-Yi,Taiwan,Taiwan,2,Single Origin,9.0-9.0-9.0-9-8.0,False,8.8,1
Ethiopia Guji Uraga,"Fort Wayne, Indiana","Dhibabate, Hambela Wamena, Guji Zone, Ethiopia",Light,$23.00/12 ounces,2025-08-01,9.0,9.0,9.0,9,9.0,95,6.76,2025,8,Fort Wayne,Indiana,USA,1,Blend,9.0-9.0-9.0-9-9.0,False,9.0,0
Ethiopia Bekele Yutute,"Fort Wayne, Indiana","Kokose, Bensa, Sidamo growing region, southern Ethiopia",Light,$20.00/10.9 ounces,2025-08-01,9.0,9.0,9.0,9,8.0,94,6.47,2025,8,Fort Wayne,Indiana,USA,1,Blend,9.0-9.0-9.0-9-8.0,False,8.8,0
Sumatra Asuro Gayo Natural,"Fort Wayne, Indiana","Aceh Province, Sumatra, Indonesia",Medium-Light,$23.00/12 ounces,2025-08-01,9.0,9.0,8.0,9,8.0,93,6.76,2025,8,Fort Wayne,Indiana,USA,2,Blend,9.0-9.0-8.0-9-8.0,False,8.6,0
Colombia Camp Hermoso Sidra Washed,"Barronett, Wisconsin","Armenia, Quindio Department, Colombia",Light,$32.00/12 ounces,2025-08-01,9.0,9.0,9.0,9,9.0,95,9.41,2025,8,Barronett,Wisconsin,USA,1,Blend,9.0-9.0-9.0-9-9.0,False,9.0,0
Colombia Campo Hermoso Pink Bourbon Washed,"Barronett, Wisconsin","Armenia, Quindio Department, Colombia",Light,$32.00/12 ounces,2025-08-01,9.0,9.0,9.0,9,8.0,94,9.41,2025,8,Barronett,Wisconsin,USA,1,Blend,9.0-9.0-9.0-9-8.0,False,8.8,0
Ethiopia West Arsi Nensebo Natural,"Barronett, Wisconsin","Werka, Refisa Kebele, Nensebo District, West Arsi, Oromia, southern Ethiopia",Medium-Light,$22.00/12 ounces,2025-08-01,9.0,8.0,9.0,9,8.0,93,6.47,2025,8,Barronett,Wisconsin,USA,2,Blend,9.0-8.0-9.0-9-8.0,False,8.6,0
Nicaragua Geisha La Bastilla,"Livingston, Montana","Jinotega Department, Nicaragua",Light,$35.00/12 ounces,2025-08-01,9.0,8.0,9.0,9,8.0,93,10.29,2025,8,Livingston,Montana,USA,1,Blend,9.0-8.0-9.0-9-8.0,False,8.6,0
Kenya Muranga’a,"Livingston, Montana","Muranga’a, Embu County, Kenya",Medium-Light,$35.00/12 ounces,2025-08-01,9.0,9.0,8.0,9,8.0,93,10.29,2025,8,Livingston,Montana,USA,2,Blend,9.0-9.0-8.0-9-8.0,False,8.6,0
Mystic Monk Blend,"Clark, Wyoming",Not disclosed,Medium,$14.95/12 ounces,2025-08-01,8.0,8.0,9.0,9,8.0,92,4.39,2025,8,Clark,Wyoming,USA,3,Single Origin,8.0-8.0-9.0-9-8.0,False,8.4,1
Panama Lerida Estate Ronella Lot 5 Washed Geisha,"Tainan, Taiwan","Jaramillo, Boquete growing region, Panama",Light,NT $1380/100 grams,2025-08-01,9.0,9.0,9.0,10,9.0,96,44.16,2025,8,Tainan,Taiwan,Taiwan,1,Blend,9.0-9.0-9.0-10-9.0,False,9.2,0
Pineapple Mocha Java,"San Diego, California","The Philippines; Gedeo Zone, Ethiopia; Tolima Department, Colombia",Light,$30.00/12 ounces,2025-08-01,9.0,8.0,9.0,9,9.0,94,8.82,2025,8,San Diego,California,USA,1,Blend,9.0-8.0-9.0-9-9.0,False,8.8,0
